feature,coefficient,odds_ratio,abs_coefficient
ord__Contract,-0.8763425546725266,0.41630273514522886,0.8763425546725266
num__MonthlyCharges,-0.7412815791585647,0.47650284792002945,0.7412815791585647
num__Is_Fiber_Optic,0.48953394560289154,1.6315556490510712,0.48953394560289154
num__TotalCharges,0.4874009373368438,1.6280792362917642,0.4874009373368438
num__tenure,-0.440032021086245,0.6440157986675348,0.440032021086245
num__Tenure_Years,-0.4400320210862344,0.6440157986675416,0.4400320210862344
num__MonthlyCharge_Tenure_Ratio,0.387032976046112,1.4726050511645463,0.387032976046112
nom__PaperlessBilling_No,-0.253184429892143,0.7763246911407675,0.253184429892143
nom__OnlineSecurity_No,0.2508028664001066,1.28505673150029,0.2508028664001066
nom__StreamingMovies_Yes,0.24414972202438795,1.2765354416528498,0.24414972202438795
nom__InternetService_Fiber optic,0.2179514141415527,1.2435266483416008,0.2179514141415527
num__Service_Count,0.21068122857537158,1.2345187630269598,0.21068122857537158
nom__TechSupport_No,0.2074574818539601,1.2305453952189684,0.2074574818539601
nom__PaperlessBilling_Yes,0.19625456404702685,1.2168366287672079,0.19625456404702685
nom__PaymentMethod_Electronic check,0.185253497323494,1.203523491445059,0.185253497323494
nom__StreamingTV_Yes,0.17995117432680266,1.19715890960512,0.17995117432680266
nom__OnlineSecurity_Yes,-0.1682480348215104,0.8451441834986316,0.1682480348215104
nom__StreamingMovies_No,-0.16159489044577732,0.8507857961914693,0.16159489044577732
nom__Dependents_Yes,-0.1558558523581247,0.8556825260998588,0.1558558523581247
nom__OnlineBackup_No,0.14400632412764125,1.1548914121825213,0.14400632412764125
nom__PaymentMethod_Mailed check,-0.14124748001564166,0.8682744045429343,0.14124748001564166
nom__StreamingMovies_No internet service,-0.13948469742371677,0.8698063333803264,0.13948469742371677
nom__TechSupport_No internet service,-0.13948469742371677,0.8698063333803264,0.13948469742371677
nom__DeviceProtection_No internet service,-0.13948469742371677,0.8698063333803264,0.13948469742371677
nom__OnlineBackup_No internet service,-0.13948469742371677,0.8698063333803264,0.13948469742371677
nom__InternetService_No,-0.13948469742371677,0.8698063333803264,0.13948469742371677
nom__OnlineSecurity_No internet service,-0.13948469742371677,0.8698063333803264,0.13948469742371677
nom__StreamingTV_No internet service,-0.13948469742371677,0.8698063333803264,0.13948469742371677
nom__InternetService_DSL,-0.1353965825629467,0.8733694798914353,0.1353965825629467
nom__MultipleLines_No,-0.1326084458170225,0.8758079512472215,0.1326084458170225
nom__TechSupport_Yes,-0.12490265027536965,0.8825828175968827,0.12490265027536965
num__Charges_Per_Service,-0.11201895473631691,0.8940273112878067,0.11201895473631691
nom__MultipleLines_Yes,0.11034913860955887,1.116667874276094,0.11034913860955887
num__Contract_Tenure_Interaction,0.10162208819394797,1.1069650575069572,0.10162208819394797
nom__Dependents_No,0.09892598651300595,1.1039845867861398,0.09892598651300595
nom__StreamingTV_No,-0.09739634274820268,0.9071963741651231,0.09739634274820268
nom__DeviceProtection_No,0.06941590981110772,1.0718819226615937,0.06941590981110772
num__Paperless_AutoPay_Flag,-0.0675244143809474,0.9347049000959499,0.0675244143809474
num__SeniorCitizen,0.06213471314184704,1.0641056840929302,0.06213471314184704
nom__OnlineBackup_Yes,-0.061451492549045306,0.9403985609701545,0.061451492549045306
nom__gender_Female,-0.0554589892529491,0.9460508211257954,0.0554589892529491
nom__PaymentMethod_Credit card (automatic),-0.05297445092027113,0.9484042430283831,0.05297445092027113
nom__PaymentMethod_Bank transfer (automatic),-0.04796143223270293,0.9531705480284971,0.04796143223270293
nom__Partner_No,-0.03575845945497972,0.9648733213670676,0.03575845945497972
nom__MultipleLines_No phone service,-0.03467055863765939,0.9659235790264923,0.03467055863765939
nom__PhoneService_No,-0.03467055863765939,0.9659235790264923,0.03467055863765939
nom__PhoneService_Yes,-0.022259307207456547,0.9779866031933429,0.022259307207456547
nom__Partner_Yes,-0.021171406390139737,0.9790511345655648,0.021171406390139737
nom__DeviceProtection_Yes,0.013138921767493757,1.0132256166765494,0.013138921767493757
num__SeniorCitizen_AloneRisk,-0.012490579378829459,0.9875871041340393,0.012490579378829459
nom__gender_Male,-0.0014708765921683433,0.9985302046166331,0.0014708765921683433
