dimension,segment,n,churn_rate,auc,precision,recall,f1
Contract,Two year,256,0.01953125,0.8095617529880479,0.1,0.8,0.1777777777777778
Contract,Month-to-month,572,0.42482517482517484,0.7642438115251354,0.4275618374558304,0.9958847736625515,0.5982694684796045
Contract,One year,229,0.14410480349344978,0.7404143475572047,0.2116788321167883,0.8787878787878788,0.3411764705882353
InternetService,No,239,0.100418410041841,0.8393410852713178,0.25,0.9166666666666666,0.3928571428571429
InternetService,DSL,377,0.1962864721485411,0.8336009276603337,0.2966101694915254,0.9459459459459459,0.4516129032258064
InternetService,Fiber optic,441,0.41496598639455784,0.8000381242851696,0.43675417661097854,1.0,0.6079734219269103
PaymentMethod,Bank transfer (automatic),232,0.15517241379310345,0.8867630385487528,0.27906976744186046,1.0,0.43636363636363634
PaymentMethod,Credit card (automatic),232,0.15948275862068967,0.8271656271656271,0.2734375,0.9459459459459459,0.42424242424242414
PaymentMethod,Mailed check,244,0.1885245901639344,0.7907334211682038,0.2721518987341772,0.9347826086956522,0.4215686274509804
PaymentMethod,Electronic check,349,0.46418338108882523,0.789034132171387,0.49085365853658536,0.9938271604938271,0.6571428571428573
TenureBucket,25+m,578,0.13667820069204153,0.8453869764846148,0.24183006535947713,0.9367088607594937,0.38441558441558443
TenureBucket,0-6m,229,0.5414847161572053,0.7921658986175116,0.5462555066079295,1.0,0.7065527065527065
TenureBucket,7-24m,250,0.312,0.7549194991055457,0.36666666666666664,0.9871794871794872,0.5347222222222222
